other:			9576;
property.black:		4617;
property.white:		577;
property.gray:		587;
property.red:		1068;
property.yellow:	1004;
property.blue:		849;
property.green:		140;
property.purple:	108;
property.silvery:	60;
property.golden:	59;
property.stripe:	122;
property.suihua:	224;
property.lattice:	223;
property.leopard:	28;
property.dot:		9;
Txu:			879;
banshenqun:		877;
beibao:			903;
beixin:			403;
changku:		874;
chenshan:		537;
danxie:			1594;
duanku:			899;
huazhuangbao:		565;
jiajutaozhuang:		220;
lianyiqun:		896;
maozi:			941;
qianbao:		915;
shoutao:		943;
shoutibao:		953;
tongxue:		977;
tuoxie:			562;
waitao:			928;
weijin:			942;
xifutaozhuang:		779;
yundongxiuxianxie:	915;
